
# Waypoint History - Started at 2026-02-07 22:18:55 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:20:09 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:21:28 - Random Seed 1235

# Waypoint History - Started at 2026-02-07 22:22:24 - Random Seed 1235
(-0.129056, -0.734915, None),  cut
(-0.126097, -0.740122, None),  cut
(0.038795, -0.809441, None),  cut
(0.105775, -0.697821, None),  cut
(0.147256, -0.53745, None),  cut
(0.136591, -0.540993, None),  cut
(0.125927, -0.544537, None),  cut
(0.115262, -0.548081, None),  cut
(0.104598, -0.551625, None),  cut
(0.093933, -0.555168, None),  cut
(0.083268, -0.558712, None),  cut
(0.072604, -0.562256, None),  cut
(0.061939, -0.565799, None),  cut
(0.051275, -0.569343, None),  cut
(0.04061, -0.572887, None),  cut
(0.029945, -0.57643, None),  cut
(0.019281, -0.579974, None),  cut
(0.427874, -0.846863, None),  cut
(0.456213, -0.9, -90.00),  cut
(0.669609, -0.809621, None),  cut
(0.738868, -0.596997, None),  cut
(0.644284, -0.537961, None),  cut
(0.642155, -0.536607, None),  cut
(0.634164, -0.532152, None),  cut
(0.624191, -0.527267, None),  cut
(0.81562, -0.564315, None),  cut
(0.817256, -0.558299, None),  cut
(0.818954, -0.552261, None),  cut
(0.820652, -0.546223, None),  cut
(0.82235, -0.540185, None),  cut
(0.824048, -0.534148, None),  cut
(0.825745, -0.52811, None),  cut
(0.827443, -0.522072, None),  cut
(0.533636, -0.482912, None),  cut
(0.523574, -0.477983, None),  cut
(0.513513, -0.473055, None),  cut
(0.503451, -0.468126, None),  cut
(0.493389, -0.463198, None),  cut
(0.483328, -0.458269, None),  cut
(0.473266, -0.453341, None),  cut
(0.463204, -0.448413, None),  cut
(0.453143, -0.443484, None),  cut
(0.443081, -0.438556, None),  cut
(0.433019, -0.433627, None),  cut
(0.422958, -0.428699, None),  cut
(0.531515, -0.289348, None),  cut
(0.529945, -0.290814, None),  cut
(0.528375, -0.29228, None),  cut
(0.526806, -0.293746, None),  cut
